Date,Price,Open,High,Low,Volume,Change %
Jan 31 2020, 1593.80, 1584.90, 1601.20, 1581.20, 6.87K, -0.08%
Jan 30 2020, 1595.10, 1587.30, 1596.50, 1583.10, 13.36K, 0.83%
Jan 29 2020, 1582.00, 1579.30, 1588.60, 1574.00, 19.45K, 0.02%
Jan 28 2020, 1581.70, 1592.40, 1592.90, 1576.50, 15.01K, -0.49%
Jan 27 2020, 1589.50, 1592.50, 1599.70, 1587.50, 9.61K, 0.35%
Jan 24 2020, 1583.90, 1574.00, 1587.20, 1568.40, 9.74K, 0.42%
Jan 23 2020, 1577.30, 1572.00, 1579.30, 1563.70, 6.14K, 0.55%
Jan 22 2020, 1568.70, 1568.00, 1570.80, 1562.30, 4.61K, -0.08%
Jan 21 2020, 1569.90, 1570.40, 1580.70, 1557.80, 7.60K, 0.55%
Jan 20 2020, 1561.25, 1557.20, 1562.70, 1556.65, -, 0.27%
Jan 19 2020, 1557.05, 1557.40, 1559.05, 1556.45, -, -0.97%
Jan 17 2020, 1572.30, 1564.80, 1572.90, 1561.40, 8.24K, 0.65%
Jan 16 2020, 1562.20, 1567.70, 1569.70, 1560.00, 4.73K, -0.22%
Jan 15 2020, 1565.60, 1559.30, 1570.40, 1559.20, 3.84K, 0.58%
Jan 14 2020, 1556.50, 1560.10, 1561.40, 1548.40, 5.44K, -0.40%
Jan 13 2020, 1562.70, 1575.10, 1575.10, 1559.00, 5.33K, -0.60%
Jan 10 2020, 1572.10, 1566.50, 1575.30, 1559.00, 6.63K, 0.36%
Jan 09 2020, 1566.40, 1569.50, 1574.00, 1553.40, 4.49K, -0.38%
Jan 08 2020, 1572.30, 1590.30, 1624.50, 1565.90, 7.21K, -0.88%
Jan 07 2020, 1586.30, 1578.60, 1590.40, 1570.00, 10.57K, 0.34%
Jan 06 2020, 1580.90, 1577.90, 1600.00, 1575.00, 6.61K, 1.05%
Jan 03 2020, 1564.50, 1543.90, 1567.60, 1543.90, 4.48K, 1.58%
Jan 02 2020, 1540.10, 1535.50, 1545.60, 1532.00, 2.07K, 1.26%
Jan 01 2020, 1520.95, 1520.85, 1523.95, 1520.85, -, -0.92%
Dec 31 2019, 1535.10, 1529.60, 1539.70, 1529.60, 1.33K, 0.31%
Dec 30 2019, 1530.30, 1527.00, 1530.70, 1525.40, 1.96K, 0.04%
Dec 27 2019, 1529.70, 1526.50, 1530.30, 1523.80, 1.09K, 0.26%
Dec 26 2019, 1525.70, 1514.60, 1528.30, 1513.90, 0.71K, 1.44%
Dec 25 2019, 1504.05, 1504.40, 1504.40, 1502.15, -, -0.79%
Dec 24 2019, 1516.00, 1499.50, 1516.20, 1499.50, 2.13K, 1.07%
Dec 23 2019, 1499.90, 1492.50, 1500.40, 1492.50, 1.07K, 0.53%
Dec 20 2019, 1492.00, 1494.60, 1495.60, 1491.00, 0.22K, -0.23%
Dec 19 2019, 1495.50, 1490.90, 1496.70, 1488.60, 1.52K, 0.38%
Dec 18 2019, 1489.90, 1491.60, 1494.80, 1486.00, 3.25K, -0.13%
Dec 17 2019, 1491.90, 1491.60, 1495.80, 1490.00, 1.38K, 0.02%
Dec 16 2019, 1491.60, 1491.40, 1494.70, 1488.70, 3.09K, -0.05%
Dec 13 2019, 1492.30, 1481.80, 1493.20, 1476.50, 3.48K, 0.62%
Dec 12 2019, 1483.10, 1490.70, 1502.20, 1479.90, 3.97K, -0.18%
Dec 11 2019, 1485.80, 1478.50, 1493.00, 1478.20, 13.73K, 0.47%
Dec 10 2019, 1478.80, 1475.60, 1483.50, 1475.50, 4.94K, 0.22%
Dec 09 2019, 1475.60, 1476.00, 1480.20, 1474.20, 4.77K, -0.01%
Dec 06 2019, 1475.80, 1491.30, 1495.40, 1474.10, 5.04K, -1.19%
Dec 05 2019, 1493.60, 1492.20, 1495.90, 1488.40, 2.35K, 0.20%
Dec 04 2019, 1490.60, 1494.00, 1500.20, 1487.30, 2.70K, -0.28%
Dec 03 2019, 1494.80, 1477.90, 1498.00, 1476.00, 7.54K, 1.04%
Dec 02 2019, 1479.40, 1478.20, 1481.80, 1470.30, 9.94K, -0.26%
Nov 29 2019, 1483.20, 1473.40, 1483.30, 1469.60, 2.65K, 1.43%
Nov 28 2019, 1462.25, 1463.25, 1464.55, 1460.75, -, -0.60%
Nov 27 2019, 1471.10, 1477.50, 1477.60, 1469.50, 3.62K, -0.45%
Nov 26 2019, 1477.80, 1470.90, 1479.90, 1467.30, 9.64K, 0.21%
Nov 25 2019, 1474.70, 1477.60, 1479.40, 1471.70, 5.60K, -0.44%
Nov 22 2019, 1481.20, 1482.20, 1490.40, 1479.10, 11.90K, 0.01%
Nov 21 2019, 1481.10, 1492.00, 1492.90, 1480.00, 3.14K, -0.70%
Nov 20 2019, 1491.50, 1492.50, 1496.10, 1484.10, 1.83K, -0.01%
Nov 19 2019, 1491.70, 1491.70, 1492.70, 1482.90, 2.41K, 0.17%
Nov 18 2019, 1489.20, 1484.00, 1490.80, 1474.10, 2.75K, 0.24%
Nov 15 2019, 1485.70, 1485.40, 1486.80, 1480.00, 0.76K, -0.32%
Nov 14 2019, 1490.50, 1481.00, 1492.20, 1479.00, 2.30K, 0.68%
Nov 13 2019, 1480.40, 1474.70, 1484.50, 1474.70, 2.62K, 0.66%
Nov 12 2019, 1470.70, 1473.30, 1477.90, 1463.50, 2.49K, -0.24%
Nov 11 2019, 1474.20, 1478.30, 1483.90, 1466.00, 4.32K, -0.39%
Nov 08 2019, 1480.00, 1486.30, 1490.50, 1473.90, 2.09K, -0.24%
Nov 07 2019, 1483.60, 1509.90, 1509.90, 1478.70, 6.12K, -1.78%
Nov 06 2019, 1510.50, 1502.20, 1513.00, 1501.70, 2.28K, 0.64%
Nov 05 2019, 1500.90, 1525.00, 1526.70, 1497.80, 4.23K, -1.80%
Nov 04 2019, 1528.40, 1532.70, 1533.00, 1524.90, 2.35K, 0.00%
Nov 01 2019, 1528.40, 1531.30, 1535.00, 1522.50, 1.60K, -0.19%
Oct 31 2019, 1531.30, 1514.40, 1533.30, 1513.20, 2.92K, 1.17%
Oct 30 2019, 1513.60, 1508.30, 1515.50, 1500.60, 2.84K, 0.40%
Oct 29 2019, 1507.50, 1511.50, 1513.70, 1502.60, 1.81K, -0.35%
Oct 28 2019, 1512.80, 1524.80, 1527.10, 1509.70, 0.87K, -0.62%
Oct 25 2019, 1522.20, 1521.80, 1537.10, 1520.10, 2.13K, 0.06%
Oct 24 2019, 1521.30, 1512.30, 1522.40, 1507.50, 1.83K, 0.60%
Oct 23 2019, 1512.20, 1508.10, 1515.20, 1507.50, 0.71K, 0.55%
Oct 22 2019, 1503.90, 1503.40, 1507.90, 1501.00, 0.52K, -0.05%
Oct 21 2019, 1504.60, 1511.00, 1514.90, 1501.50, 2.72K, -0.38%
Oct 18 2019, 1510.40, 1512.20, 1513.40, 1504.90, 2.48K, -0.31%
Oct 17 2019, 1515.10, 1510.90, 1517.00, 1505.50, 2.39K, 0.28%
Oct 16 2019, 1510.80, 1501.40, 1511.30, 1499.00, 4.81K, 0.69%
Oct 15 2019, 1500.40, 1515.80, 1519.20, 1499.90, 0.46K, -0.92%
Oct 14 2019, 1514.40, 1509.20, 1517.20, 1506.60, 1.00K, 0.60%
Oct 11 2019, 1505.40, 1514.00, 1524.30, 1495.30, 6.69K, -0.82%
Oct 10 2019, 1517.90, 1535.00, 1538.50, 1512.90, 2.99K, -0.77%
Oct 09 2019, 1529.70, 1529.60, 1532.00, 1524.20, 4.42K, 0.59%
Oct 08 2019, 1520.70, 1510.80, 1529.90, 1510.50, 4.10K, -0.03%
Oct 07 2019, 1521.10, 1529.50, 1529.50, 1512.00, 2.86K, -0.54%
Oct 04 2019, 1529.40, 1530.50, 1536.30, 1518.30, 1.82K, -0.05%
Oct 03 2019, 1530.10, 1522.80, 1542.00, 1519.60, 2.30K, 0.36%
Oct 02 2019, 1524.60, 1503.30, 1527.10, 1498.50, 2.72K, 1.26%
Oct 01 2019, 1505.60, 1492.90, 1508.30, 1482.20, 2.92K, 1.06%
Sep 30 2019, 1489.80, 1519.80, 1520.40, 1487.60, 2.77K, -2.20%
Sep 27 2019, 1523.30, 1529.70, 1529.70, 1510.80, 2.76K, -0.57%
Sep 26 2019, 1532.00, 1532.40, 1533.40, 1528.90, 1.00K, 0.20%
Sep 25 2019, 1528.90, 1556.30, 1556.30, 1525.50, 1.56K, -1.81%
Sep 24 2019, 1557.10, 1544.20, 1559.60, 1544.00, 1.65K, 0.56%
Sep 23 2019, 1548.50, 1535.00, 1550.50, 1535.00, 1.60K, 1.08%
Sep 20 2019, 1532.00, 1531.00, 1540.60, 1523.00, 0.54K, 0.58%
Sep 19 2019, 1523.20, 1513.30, 1527.50, 1513.30, 1.06K, -0.63%
Sep 18 2019, 1532.80, 1525.30, 1535.00, 1508.00, 1.74K, 0.15%
Sep 17 2019, 1530.50, 1523.10, 1531.60, 1520.70, 0.29K, 0.12%
Sep 16 2019, 1528.70, 1523.90, 1535.70, 1520.80, 0.64K, 0.77%
Sep 13 2019, 1517.00, 1521.00, 1532.50, 1513.60, 1.79K, -0.49%
Sep 12 2019, 1524.50, 1520.90, 1546.50, 1514.30, 1.44K, 0.30%
Sep 11 2019, 1520.00, 1513.00, 1520.10, 1513.00, 1.60K, 0.28%
Sep 10 2019, 1515.80, 1520.00, 1523.20, 1510.70, 2.19K, -0.77%
Sep 09 2019, 1527.60, 1528.00, 1539.80, 1521.80, 2.51K, -0.25%
Sep 06 2019, 1531.50, 1542.60, 1551.90, 1526.90, 1.28K, -0.64%
Sep 05 2019, 1541.30, 1575.00, 1575.00, 1532.10, 1.18K, -2.21%
Sep 04 2019, 1576.20, 1571.00, 1578.50, 1559.40, 0.93K, 0.27%
Sep 03 2019, 1571.90, 1556.00, 1574.20, 1547.80, 2.06K, 2.39%
Sep 02 2019, 1535.15, 1537.95, 1540.05, 1528.15, -, -0.19%
Sep 01 2019, 1538.05, 1535.25, 1542.90, 1535.25, -, -0.48%
Aug 30 2019, 1545.50, 1551.90, 1555.80, 1543.30, 1.34K, -0.46%
Aug 29 2019, 1552.60, 1566.50, 1574.50, 1547.00, 0.90K, -0.76%
Aug 28 2019, 1564.50, 1569.40, 1571.10, 1560.70, 0.79K, -0.17%
Aug 27 2019, 1567.20, 1558.60, 1568.60, 1553.20, 1.58K, 0.97%
Aug 26 2019, 1552.10, 1557.00, 1573.40, 1550.00, 0.87K, -0.03%
Aug 23 2019, 1552.50, 1518.00, 1554.00, 1518.00, 0.75K, 1.91%
Aug 22 2019, 1523.40, 1527.00, 1527.00, 1517.40, 0.58K, -0.46%
Aug 21 2019, 1530.40, 1531.30, 1531.40, 1522.90, 1.45K, 0.00%
Aug 20 2019, 1530.40, 1526.50, 1532.10, 1526.50, 0.12K, 0.28%
Aug 19 2019, 1526.20, 1530.00, 1530.20, 1520.40, 0.84K, -0.78%
Aug 16 2019, 1538.20, 1538.50, 1540.00, 1530.00, 0.41K, -0.50%
Aug 15 2019, 1545.90, 1545.70, 1549.50, 1537.40, 0.86K, 0.19%
Aug 14 2019, 1542.90, 1526.80, 1547.70, 1525.30, 2.06K, 0.89%
Aug 13 2019, 1529.30, 1541.80, 1559.10, 1506.60, 1.53K, -0.18%
Aug 12 2019, 1532.00, 1520.00, 1538.40, 1520.00, 1.20K, 0.57%
Aug 09 2019, 1523.30, 1526.00, 1533.80, 1522.80, 0.55K, -0.05%
Aug 08 2019, 1524.00, 1524.40, 1529.80, 1519.30, 0.87K, -0.63%
Aug 07 2019, 1533.60, 1500.40, 1536.30, 1500.40, 2.45K, 2.34%
Aug 06 2019, 1498.60, 1495.00, 1500.00, 1486.00, 1.99K, 0.51%
Aug 05 2019, 1491.00, 1467.20, 1495.80, 1467.20, 1.81K, 1.23%
Aug 02 2019, 1472.90, 1471.10, 1475.20, 1458.00, 0.61K, 1.69%
Aug 01 2019, 1448.40, 1442.60, 1472.10, 1428.90, 1.56K, -0.36%
Jul 31 2019, 1453.70, 1459.00, 1462.00, 1439.80, 0.76K, -0.27%
Jul 30 2019, 1457.70, 1453.30, 1461.50, 1451.30, 0.70K, 0.59%
Jul 29 2019, 1449.20, 1452.30, 1454.40, 1444.00, 1.05K, 0.08%
Jul 26 2019, 1448.10, 1444.00, 1449.60, 1442.00, 0.56K, 0.35%
Jul 25 2019, 1443.10, 1452.60, 1461.60, 1440.00, 1.57K, -0.62%
Jul 24 2019, 1452.10, 1445.40, 1457.10, 1445.40, 0.85K, 0.14%
Jul 23 2019, 1450.00, 1450.00, 1457.40, 1446.00, 1.04K, -0.36%
Jul 22 2019, 1455.20, 1453.60, 1456.90, 1451.60, 0.61K, 0.03%
Jul 19 2019, 1454.70, 1470.50, 1472.80, 1454.50, 1.42K, -0.12%
Jul 18 2019, 1456.40, 1451.20, 1476.80, 1446.00, 0.93K, 0.33%
Jul 17 2019, 1451.60, 1430.00, 1454.70, 1430.00, 0.41K, 0.85%
Jul 16 2019, 1439.30, 1445.30, 1445.30, 1437.70, 0.30K, -0.15%
Jul 15 2019, 1441.50, 1441.00, 1443.70, 1441.00, 0.99K, 0.09%
Jul 12 2019, 1440.20, 1437.20, 1440.60, 1436.50, 0.94K, 0.39%
Jul 11 2019, 1434.60, 1453.20, 1453.80, 1433.30, 0.58K, -0.37%
Jul 10 2019, 1439.90, 1421.20, 1446.40, 1421.20, 1.80K, 0.86%
Jul 09 2019, 1427.60, 1424.30, 1428.20, 1416.50, 1.37K, 0.06%
Jul 08 2019, 1426.80, 1425.60, 1435.00, 1423.50, 0.86K, 0.04%
Jul 05 2019, 1426.30, 1448.00, 1448.00, 1420.60, 0.86K, 0.19%
Jul 04 2019, 1423.55, 1421.25, 1426.65, 1412.85, -, -1.56%
Jul 03 2019, 1446.10, 1447.80, 1457.70, 1447.80, 1.13K, 0.91%
Jul 02 2019, 1433.10, 1416.90, 1442.50, 1416.90, 0.43K, 1.36%
Jul 01 2019, 1413.90, 1424.50, 1424.50, 1414.30, 0.32K, -1.64%
Jun 28 2019, 1437.50, 1435.60, 1438.90, 1435.50, 1.26K, 0.15%
Jun 27 2019, 1435.40, 1433.80, 1434.90, 1429.50, 2.56K, -0.22%
Jun 26 2019, 1438.60, 1444.30, 1445.80, 1430.00, 1.31K, -0.22%
Jun 25 2019, 1441.80, 1446.20, 1462.90, 1439.10, 1.80K, 0.03%
Jun 24 2019, 1441.40, 1431.60, 1445.80, 1429.10, 0.23K, 1.26%
Jun 21 2019, 1423.40, 1415.70, 1432.40, 1410.40, 0.72K, 0.22%
Jun 20 2019, 1420.30, 1386.90, 1419.90, 1386.90, 0.46K, 3.41%
Jun 19 2019, 1373.50, 1374.50, 1386.00, 1370.60, 0.42K, -0.15%
Jun 18 2019, 1375.50, 1367.20, 1375.50, 1367.00, 0.11K, 0.57%
Jun 17 2019, 1367.70, 1369.30, 1370.20, 1361.60, 0.41K, -0.14%
Jun 14 2019, 1369.60, 1373.60, 1380.10, 1366.80, 0.74K, 0.06%
